CT10,TOTAL_POP,WHITE,BLACK,AMER_IND,ASIAN,PAC_ISLND,OTHER,TWO_MORE,MEANINCOME,LESS_HS,HS_GRAD,SOME_COLGE,BA_HIGHER,AlcoholRel,Arson,Assault,Burglaries,FederalOff,FelonMisc,Fraud,Gambling,GrandTheft,Homicide,MentallyIl,Narcotics,Robberies,SexOffense,Suicide,Vagrancy,Vandalism,VehicBoatL,WeaponLaws,AllCrimes
503801,4134,2693,25,15,588,0,626,187,99697,0,73,286,11,6,0,10,25,1,0,13,0,7,0,4,9,62,1,0,0,15,29,0,182
503902,4575,2843,86,48,647,13,801,137,103312,0,55,257,31,7,0,14,25,0,5,19,0,35,1,3,24,117,5,0,0,28,61,2,346
504002,5213,3242,164,0,617,0,788,402,105857,8,68,500,118,5,1,7,15,0,1,15,0,7,0,6,16,38,2,0,0,10,19,2,144
503901,2983,1568,72,38,572,0,524,209,103595,5,36,212,21,2,0,5,5,0,1,6,0,3,0,1,6,25,0,2,0,4,8,2,70
504101,5281,2513,144,15,626,0,1730,253,70980,13,54,385,14,10,0,24,11,2,0,14,0,13,0,7,32,33,3,1,0,14,26,6,196
530301,2244,1348,0,0,12,0,862,22,51459,60,29,130,12,18,1,40,26,0,2,12,0,28,1,2,52,62,7,1,0,34,6,8,300
530302,6969,3968,37,177,221,5,2448,113,61095,125,68,413,32,14,0,44,15,0,3,18,0,31,1,4,31,76,9,0,0,39,4,19,308
532002,3133,2018,0,54,256,0,752,53,49178,76,77,108,16,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
532101,6508,4682,0,227,190,0,1350,59,52772,115,85,421,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,3,0,8
433302,1656,910,42,0,228,0,439,37,40462,24,13,91,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,4
433501,1729,1165,0,0,82,0,452,30,28245,49,71,72,8,11,0,17,18,0,3,10,0,26,0,4,16,52,13,0,0,11,57,0,238
433402,4216,1984,7,63,878,11,1122,151,47918,132,71,82,60,1,0,4,0,0,0,0,0,2,0,0,5,0,0,0,0,1,6,1,20
433700,4059,2540,0,103,600,0,788,28,60899,74,62,171,0,3,1,39,28,2,6,18,0,23,1,8,28,49,6,0,1,21,61,4,299
433801,6547,4799,1,0,405,0,1291,51,51882,190,123,367,27,8,1,30,23,0,7,11,0,31,0,6,31,55,6,0,0,15,53,4,281
408628,5416,1053,66,24,3803,8,343,119,90180,26,68,101,102,0,0,4,39,0,2,8,0,4,0,2,1,51,6,0,0,10,1,0,128
